IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
1	Color Contrast	Default primary buttons have insufficient contrast against background	Primary buttons (.btn-primary) use default Bootstrap blue (#337ab7) on white/light background, resulting in contrast ratio of ~3.8:1 (fails WCAG 1.4.3 AA and 1.4.6 AAA). This affects all call-to-action buttons in portals, making them hard to read for low-vision users.	All primary buttons achieve at least 7:1 contrast ratio in normal text and 4.5:1 in large text when tested with WAVE or axe-core.	Load litmus test widget, inspect .btn-primary with Contrast Checker tool in DevTools, confirm ratio >=7:1 and button text remains readable.	Add CSS var --sb-primary: #003366 in :root and override .btn-primary { background: var(--sb-primary); color: #fff; }	Use SCSS mixin for contrast-boosted buttons in snowboots-core-overrides.scss	Apply !important only on .btn-primary in a11y.scss for immediate fix	Update Theme CSS Variables with higher contrast color and recompile portal	Medium
2	Color Contrast	Secondary buttons fail 4.5:1 ratio on hover	Secondary buttons (.btn-default or .btn-secondary) on hover change to light gray with low contrast text (ratio drops to ~3:1), violating WCAG 1.4.3 and making interactive states unusable for color-blind users.	Hover state on secondary buttons meets 4.5:1 ratio; no regression in non-hover state.	Hover mouse/keyboard focus over secondary button in litmus widget and use browser contrast tool to verify ratio.	Override .btn-default:hover { background: #555; color: #fff; } in core-overrides	Introduce --sb-secondary-hover var and use in both files	Add focus-visible styles that also boost hover contrast	Theme-level variable override for btn-default	Low
3	Color Contrast	Muted text (.text-muted) below 4.5:1	Text with .text-muted class uses #777 gray, resulting in ~3.5:1 ratio on white bg, failing readability for all users with visual impairments across labels, help text, and secondary info.	All .text-muted instances achieve >=4.5:1 (preferably 7:1) contrast.	Scan page with axe-core; hover over muted text in litmus widget and confirm contrast passes.	Redefine .text-muted { color: #555 !important; } in a11y.scss	Use CSS var --sb-muted: #555 and apply globally	Add @extend or mixin in SCSS for custom muted classes	Portal-wide CSS variable injection in Theme	Low
4	Color Contrast	Link text in navigation not meeting 4.5:1	Navigation links (navbar, breadcrumbs, sidebar) use default #337ab7 blue on light backgrounds with ratio ~4.2:1 or less, failing WCAG 1.4.3 for links and causing navigation usability issues.	All navigation links meet 4.5:1 minimum (7:1 target for AAA).	Tab through navigation in litmus widget and use WAVE tool to flag link contrast.	Override .navbar a, .breadcrumb a { color: #004080; }	CSS var --sb-link-nav: #004080 with :focus boost	Combine with focus-visible rule for dual fix	Theme color palette update for links	Medium
5	Color Contrast	Alert warning text on default background	Warning alerts (.alert-warning) use orange text/background with ratio ~3.9:1, violating WCAG 1.4.3 and making critical warnings hard to read in service catalog and notifications.	Warning alert text/background combination achieves >=7:1 contrast.	Trigger alert in litmus widget, inspect with axe, confirm pass.	Override .alert-warning { color: #000; background: #ffe699; } in core	Dedicated a11y rule with !important for alerts	CSS vars for all alert types	Theme Builder color sync for alerts	Low
6	Color Contrast	Success alert text contrast failure	Success alerts (.alert-success) use green text/background with ratio ~3.7:1 on default white, failing WCAG 1.4.3 AA and 1.4.6 AAA. This makes positive feedback messages (order submitted, ticket closed) difficult to read for users with low vision or color vision deficiencies across all service portal notifications and catalog confirmations.	All success alert text/background combinations achieve at least 7:1 contrast ratio with no visual regression on non-alert elements.	Trigger a success alert in the litmus test widget (or any catalog confirmation page), open DevTools Contrast Checker or run axe-core, and confirm the ratio passes 7:1 while the alert remains visually distinct.	Override .alert-success { color: #000; background-color: #d4edda; } in snowboots-core-overrides.scss	Add CSS custom property --sb-alert-success-bg: #c3e6cb and --sb-alert-success-text: #155724 then reference in both core and a11y files	Apply a targeted !important rule only in snowboots-a11y.scss for immediate portal-wide enforcement	Synchronize with Theme Builder by adding success color variables and recompiling the portal theme	Medium
7	Color Contrast	Danger label text too light	Danger labels and alert-danger use red text (#d9534f) on light backgrounds with ratio ~4.1:1, failing WCAG 1.4.3 and making critical error or delete actions hard to discern for low-vision users in forms, tables, and confirmation dialogs.	All danger elements achieve 7:1 contrast; danger text remains distinguishable from success/warning.	Inspect any .label-danger or .alert-danger in the litmus widget with WAVE or axe-core and confirm pass; also test in a real delete confirmation dialog.	Set .label-danger, .alert-danger { color: #fff; background: #c9302c; } in core-overrides	Define --sb-danger-text and --sb-danger-bg CSS vars with dark background	Use a dedicated a11y.scss rule with higher specificity and !important	Update portal Theme record CSS Variables for danger states and re-test	Low
8	Color Contrast	Table header background vs text	Table headers (.table > thead > th) use light gray background (#f5f5f5) with dark text yielding only ~3.9:1 ratio, violating WCAG 1.4.3 in list views, reports, and data tables throughout ServiceNow Service Portal.	All table headers achieve at least 7:1 contrast ratio with no loss of zebra striping or readability.	Load a table-heavy page or the litmus widget table section, run axe-core specifically on th elements, and confirm contrast passes.	Override thead th { background: #333; color: #fff; } in core-overrides.scss	Introduce --sb-table-header-bg and --sb-table-header-text variables and apply globally	Add a scoped rule in a11y.scss targeting .table-striped as well	Theme-level SCSS variable override for table colors	Medium
9	Color Contrast	Form placeholder text contrast	Form placeholder text (e.g. in .form-control::placeholder) uses very light gray (~#999 or lighter) resulting in 2.8:1 ratio on white input backgrounds, failing WCAG 1.4.3 and making input hints unusable for many users in catalog items and search forms.	All form placeholders achieve minimum 4.5:1 contrast (target 7:1) and remain visible when focused.	Focus any input in the litmus widget, type to remove placeholder, then use browser dev tools to inspect ::placeholder and run contrast check.	Set input::placeholder { color: #555; } in core-overrides	Create --sb-placeholder-color var and use in both SCSS files	Add !important placeholder rule in a11y.scss for instant enforcement	Extend Theme CSS to include placeholder color variables	Low
10	Color Contrast	Breadcrumb links insufficient contrast	Breadcrumb links use default link color with ratio ~4.1:1 on the page background, failing WCAG 1.4.3 for navigation paths and causing orientation issues for users relying on high contrast in long service catalog or knowledge base journeys.	All breadcrumb links (including current page) meet 4.5:1 minimum with active item clearly distinguishable.	Navigate to a page with breadcrumbs in the litmus widget or any portal page, tab through links and confirm with WAVE tool that all pass.	Override .breadcrumb > li > a { color: #004080; font-weight: bold; } in core	Define --sb-breadcrumb-link var with darker shade and apply :visited/:hover	Combine with focus-visible rule in a11y.scss	Theme CSS Variables update for breadcrumb colors	Medium
