IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
81	Images & Non-Text	Missing alt on logo	"ServiceNow logo and custom brand images lack proper alt text or have generic text, violating WCAG 1.1.1. Screen reader users hear nothing meaningful about the portal identity.","All logo/brand images have descriptive alt text such as 'ServiceNow Logo - Company Portal'.","Inspect logo with screen reader or axe-core in litmus widget; confirm meaningful announcement.","Add alt='[Company] ServiceNow Portal' to img tags in header widget templates","CSS rule with aria-label fallback for background logos","a11y.scss enforcement for .logo class","Theme record image alt standardization","Low"
82	Images & Non-Text	Chart images without data table alternative	"Dashboard charts are images or canvas without accessible data table equivalent, violating WCAG 1.1.1 and 1.4.5. Users cannot access chart data.","Every chart has an accessible data table alternative or aria-describedby data summary.","Open chart widget, run axe, and confirm alternative data access.","Provide hidden data table below chart in core-overrides templates","CSS vars + aria-describedby linking","a11y.scss rule enforcing data table presence","Theme dashboard widget standard with table fallback","Medium"
83	Images & Non-Text	Icon fonts without text equivalent	"Glypicon and custom icon fonts lack text equivalents or aria-labels, violating WCAG 1.1.1. Screen readers announce garbage or nothing.","All icon fonts have proper aria-hidden or accompanying text/aria-label.","Inspect icon-heavy areas with screen reader; confirm no garbage announcements.","Add aria-hidden="true" to .glyphicon classes in core-overrides","CSS rule for all icon fonts","a11y.scss block with aria-label suggestions","Theme icon library standardization","Low"
84	Images & Non-Text	SVG without title/desc	"Inline SVGs lack <title> and <desc> elements, violating WCAG 1.1.1. Screen readers cannot convey meaning of vector icons.","All meaningful SVGs have <title> and <desc> elements.","Inspect SVG icons in litmus widget with axe; confirm accessibility.","Add <title> and <desc> in SVG templates in core-overrides","CSS rule for SVG accessibility","a11y.scss enforcement for SVG elements","Theme SVG component guidelines","Low"
85	Images & Non-Text	Video without captions	"Embedded videos in knowledge articles or widgets lack captions or transcripts, violating WCAG 1.2.2 and 1.2.4.","All videos have synchronized captions or full transcript link.","Play video in widget; confirm captions available.","Add track elements or caption links in video embeds","CSS styling for caption controls","a11y.scss rule requiring captions","Theme video embed standard","Medium"
86	Images & Non-Text	Audio without transcript	"Audio files or voice notes lack transcripts, violating WCAG 1.2.1.","All audio content has a visible transcript link or inline transcript.","Inspect audio players; confirm transcript availability.","Add transcript link below audio in core-overrides","CSS styling for transcript section","a11y.scss enforcement","Theme audio component standard","Low"
87	Images & Non-Text	Decorative icons announced	"Decorative icons are announced by screen readers despite being purely visual, causing noise.","All decorative icons are silent to screen readers.","Test with screen reader; confirm no unnecessary announcements.","Global aria-hidden="true" on decorative icon classes","CSS rule targeting known decorative classes","a11y.scss comprehensive decorative icon block","Theme icon classification guideline","Low"
88	Images & Non-Text	Background images with text	"Background CSS images contain overlaid text without alt equivalent, violating WCAG 1.4.5 and 1.1.1.","Background images with text have accessible text alternative or are converted to real text.","Inspect pages with background images; confirm text is accessible.","Convert text-on-image to real HTML text where possible in core","CSS fallback with aria-hidden on bg images","a11y.scss rule for text-on-image cases","Theme design guideline against text in background","Medium"
89	Images & Non-Text	Widget image missing alt variant 1	"Catalog item images in widgets lack alt text.","All catalog images have meaningful alt.","Scan catalog widgets; confirm pass.","Template update in core-overrides","CSS rule enforcement","a11y.scss block","Theme catalog standard","Low"
90	Images & Non-Text	Widget image missing alt variant 2	"Search result thumbnails have no alt text.","Search result images are properly labeled.","Test search results; confirm.","Widget template fix","CSS fallback","a11y.scss rule","Portal search widget update","Low"
91	Structure & Headings	Multiple <h1> on page	"Service Portal pages often have multiple H1 tags due to widgets, violating WCAG 1.3.1.","Only one H1 per page.","Run axe; confirm single H1.","Enforce H1 rules in core-overrides","CSS selector warning","a11y.scss block","Theme page structure standard","Medium"
