IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
101	Structure & Headings	Custom layout heading issue variant 1	"Custom ServiceNow widgets and layouts frequently misuse heading levels (e.g., multiple H2s without H1 or skipping from H1 to H3), violating WCAG 1.3.1 Info and Relationships. This breaks screen reader navigation and document structure for users relying on headings for orientation."	"All pages and widgets have correct, logical heading hierarchy starting with one H1 per page and no skipped levels."	"Run axe-core or WAVE on multiple pages; confirm no heading structure violations. Use screen reader heading navigation to verify logical flow."	"Add proper heading hierarchy comments and examples in core-overrides widget templates"	"CSS rule to enforce visual heading styles consistent with semantic levels"	"a11y.scss block with role=heading and aria-level enforcement"	"Theme-level layout template standardization for headings"	"Medium"
102	Structure & Headings	Custom layout heading issue variant 2	"Widgets with card-like structures use divs styled as headings without proper <h*> tags, violating WCAG 1.3.1 and making content unnavigable for screen reader users."	"Every visual heading uses the correct semantic <h1>-<h6> tag."	"Inspect widget cards in litmus test; confirm semantic headings with screen reader."	"Replace styled divs with proper h-tags in widget HTML notes in core-overrides"	"CSS class mapping for visual headings to semantic ones"	"a11y.scss rule enforcing heading roles"	"Portal widget audit and template update"	"Medium"
103	Structure & Headings	Custom layout heading issue variant 3	"Dynamic content sections (AJAX loaded) introduce new headings out of order or duplicate H1s, violating WCAG 1.3.1."	"Dynamic updates maintain overall page heading hierarchy."	"Trigger dynamic load in litmus widget and re-check heading structure with axe."	"JS polyfill to adjust heading levels on dynamic content"	"CSS rule for dynamic sections"	"a11y.scss with aria-live for structure changes"	"Theme script for heading management"	"High"
104	Structure & Headings	Custom layout heading issue variant 4	"Sidebar or secondary navigation uses H2/H3 incorrectly relative to main content, breaking document outline."	"Sidebar navigation uses appropriate heading levels relative to main content."	"Navigate sidebar and main content with screen reader heading list; confirm logical order."	"Template adjustments in core-overrides for sidebar headings"	"CSS logical heading styles"	"a11y.scss enforcement"	"Theme sidebar standardization"	"Low"
105	Structure & Headings	Custom layout heading issue variant 5	"Knowledge article or catalog descriptions misuse bold text as fake headings without semantic tags."	"All visual headings are semantic <h*> elements."	"Check knowledge articles and catalog items with axe-core; zero fake heading violations."	"CSS rule to convert common fake headings to real ones via content"	"Widget template updates"	"a11y.scss role=heading"	"Content guidelines in docs"	"Medium"
106	Structure & Headings	Custom layout heading issue variant 6	"Modal dialogs contain headings that conflict with page-level headings."	"Modals have their own contained heading hierarchy starting with H2 or H3."	"Open modal and check heading structure with screen reader; confirm no conflict."	"Scoped heading rules in core-overrides for modals"	"CSS modal heading styles"	"a11y.scss modal-specific ARIA"	"Theme modal template"	"Low"
107	Structure & Headings	Custom layout heading issue variant 7	"Dashboard widget titles use inconsistent heading levels across different widgets."	"All dashboard widgets use consistent H2 or H3 for titles."	"Scan dashboard with axe; confirm uniform heading levels."	"Global widget title template in core-overrides"	"CSS dashboard heading standardization"	"a11y.scss dashboard block"	"Theme dashboard standardization"	"Medium"
108	Structure & Headings	Custom layout heading issue variant 8	"Tabbed interfaces have tab panels without proper heading inside."	"Each tab panel starts with appropriate heading."	"Switch tabs and verify heading navigation works."	"Tab panel template updates"	"CSS tab heading styles"	"a11y.scss tab ARIA"	"Theme tab widget"	"Low"
109	Structure & Headings	Custom layout heading issue variant 9	"List items or cards use H4/H5 incorrectly as primary content headings."	"Heading levels match content importance."	"Check list and card layouts with screen reader."	"Template fixes in core-overrides"	"CSS heading level mapping"	"a11y.scss enforcement"	"Theme content templates"	"Medium"
110	Structure & Headings	Custom layout heading issue variant 10	"Search results pages have multiple H1s or missing structure."	"Search results page has single H1 and logical sub-headings."	"Perform search and check structure with axe."	"Search widget template in core-overrides"	"CSS search heading styles"	"a11y.scss search block"	"Theme search standardization"	"Medium"
111	Motion & Usability	No prefers-reduced-motion support	"Animations and transitions in ServiceNow portals (carousels, modals, hover effects, loading spinners) do not respect @media (prefers-reduced-motion: reduce), violating WCAG 2.2.2 Pause, Stop, Hide. Users with vestibular disorders experience discomfort."	"All animations respect reduced-motion preference and can be paused/stopped."	"Emulate reduced motion in DevTools and interact with animated elements; confirm no motion."	"Add @media (prefers-reduced-motion: reduce) { * { transition: none !important; animation: none !important; } } in snowboots-a11y.scss"	"CSS vars for motion control"	"JS polyfill to detect and disable animations"	"Theme-level global motion setting"	"Low"
112	Motion & Usability	Auto-playing carousels	"Carousels auto-advance without pause/stop controls or reduced-motion respect, violating WCAG 2.2.2."	"Carousels have pause/play controls and respect reduced motion."	"Load carousel in litmus widget; confirm pause works and reduced motion stops auto-play."	"Override carousel JS with pause controls in core"	"CSS reduced-motion rule for carousel"	"a11y.scss auto-play disable"	"Theme carousel widget update"	"Medium"
113	Motion & Usability	Distracting animations on load	"Page load or widget load animations are distracting and cannot be paused, violating WCAG 2.2.2."	"All load animations are short (<5s) or respect reduced motion."	"Reload page and observe animations with reduced motion enabled."	"CSS animation control in core-overrides"	"Reduced-motion block in a11y.scss"	"JS to disable on preference"	"Theme animation guidelines"	"Low"
114	Motion & Usability	Hover-only tooltips	"Tooltips appear only on hover and disappear immediately, violating WCAG 1.4.13 Content on Hover or Focus for keyboard users."	"Tooltips are accessible via focus and persist until dismissed."	"Focus on elements with tooltips using keyboard; confirm tooltip stays visible."	"CSS :focus-visible for tooltips in core"	"ARIA tooltip roles"	"a11y.scss persistent tooltip styles"	"Theme tooltip component"	"Medium"
115	Motion & Usability	Timeout without warning	"Session or form timeouts occur without 20-second warning, violating WCAG 2.2.1 Timing Adjustable."	"Users receive clear warning before timeout and can extend time."	"Simulate timeout scenario; confirm warning appears."	"JS timeout warning polyfill"	"CSS warning banner styles"	"a11y.scss timeout announcement"	"Theme session management script"	"High"
116	Motion & Usability	Content reflow issues at 400% zoom	"Content does not reflow properly at 400% zoom, causing horizontal scroll and loss of information, violating WCAG 1.4.10 Reflow."	"Page remains usable without horizontal scrolling at 400% zoom."	"Zoom browser to 400% and navigate; confirm no horizontal scroll."	"CSS max-width and flex improvements in core-overrides"	"Viewport meta enhancements"	"a11y.scss reflow fixes"	"Theme responsive layout audit"	"Medium"
117	Motion & Usability	Small text not resizable	"Some text elements have fixed pixel sizes that do not scale with user font settings, violating WCAG 1.4.4 Resize Text."	"All text resizes up to 200% without loss of content."	"Change browser font size; confirm all text scales."	"Use rem/em units everywhere in core-overrides"	"CSS font-size inheritance"	"a11y.scss text resize enforcement"	"Theme typography variables"	"Low"
118	Motion & Usability	Drag-and-drop no keyboard alternative	"Drag-and-drop interfaces (e.g. in kanban or file uploads) have no keyboard equivalent, violating WCAG 2.1.1 Keyboard."	"Drag-and-drop functionality has full keyboard alternative."	"Test drag-and-drop with keyboard only; confirm equivalent actions."	"JS keyboard drag-and-drop polyfill"	"CSS focus styles for draggable items"	"a11y.scss ARIA for drag"	"Theme widget keyboard support"	"High"
119	Motion & Usability	Hover content not persistent	"Hover-activated content (menus, tooltips) disappears when mouse moves, violating WCAG 1.4.13."	"Hover content remains visible until dismissed or focused away."	"Hover over elements; confirm content stays."	"CSS :hover + :focus-visible persistence"	"JS hover persistence helper"	"a11y.scss persistent hover styles"	"Theme component updates"	"Medium"
120	Motion & Usability	Motion-triggered nausea	"Complex parallax or spinning animations in dashboards cause motion sickness for some users, with no reduced-motion option."	"All motion-heavy elements respect prefers-reduced-motion."	"Enable reduced motion and reload dashboard; confirm no triggering animations."	"Global reduced-motion rule in a11y.scss"	"CSS animation disable"	"JS detection for motion"	"Theme motion audit"	"Low"
